campus,gender,freshman,sophomore,junior,senior,undergraduateTotal,tCredPostbacc,otherPostbacc,Graduate,graduateTotal,campusTotal
bakersfield,men,836,499,842,1033,3210,50,138,194,382,3592
bakersfield,women,1302,783,1328,1470,4883,184,211,471,866,5749
channelIslands,men,471,219,710,838,2238,18,31,22,71,2309
channelIslands,women,1021,471,1294,1308,4094,77,73,58,208,4302
chico,men,1758,1142,1988,2908,7796,42,54,259,355,8151
chico,women,2176,1475,2190,2811,8652,164,131,459,754,9406
dominquezHills,men,779,433,1416,2085,4713,83,136,342,561,5274
dominquezHills,women,1289,822,2499,3309,7919,205,328,1005,1538,9457
eastBay,men,928,477,1488,2317,5210,62,47,832,941,6151
eastBay,women,1534,855,2329,3412,8130,139,136,1299,1574,9704
fresno,men,2136,1290,2285,3406,9117,171,22,771,964,10081
fresno,women,3211,1811,3146,4219,12387,391,78,1468,1937,14324
fullerton,men,2653,1904,4838,5919,15314,162,34,2115,2311,17625
fullerton,women,3537,2475,6155,6981,19148,471,238,2753,3462,22610
humboldt,men,753,406,946,1391,3496,26,22,172,220,3716
humboldt,women,1057,667,1162,1586,4472,57,25,233,315,4787
longBeach,men,2359,1830,3327,6532,14048,255,224,1576,2055,16103
longBeach,women,3343,2674,4645,7536,18198,445,445,2585,3475,21673
losAngeles,men,2686,1116,2403,3936,10141,64,139,1314,1517,11658
losAngeles,women,3758,1687,3465,5008,13918,110,315,1826,2251,16169
maritimeAcademy,men,227,160,163,348,898,0,23,0,23,921
maritimeAcademy,women,37,34,43,67,181,0,5,0,5,186
montereyBay,men,518,306,770,955,2549,53,7,84,144,2693
montereyBay,women,950,620,1208,1428,4206,109,10,256,375,4581
northridge,men,3215,2300,4766,6103,16384,184,145,1264,1593,17977
northridge,women,3944,2710,5835,6679,19168,409,317,2045,2771,21939
pomona,men,2675,1533,3389,5441,13038,127,25,629,781,13819
pomona,women,2485,1344,3043,3821,10693,247,65,502,814,11507
sacramento,men,2337,1410,3420,5139,12306,26,103,799,928,13234
sacramento,women,3133,1981,4674,5782,15570,88,255,1363,1706,17276
sanBernardino,men,1863,1035,1945,2455,7298,111,25,683,819,8117
sanBernardino,women,2819,1593,3060,3683,11155,239,77,1179,1495,12650
sanDiego,men,2738,1981,3665,5265,13649,145,21,1730,1896,15545
sanDiego,women,3299,2422,4626,5857,16204,324,101,2514,2939,19143
sanFrancisco,men,2680,1282,3194,4304,11460,66,34,1019,1119,12579
sanFrancisco,women,3832,1945,4002,4652,14431,160,88,1787,2035,16466
sanJose,men,2453,1775,3865,5758,13851,141,17,2436,2594,16445
sanJose,women,2528,1497,3673,4839,12537,292,47,2833,3172,15709
sanLuisObispo,men,1690,2471,2459,4201,10821,44,8,374,426,11247
sanLuisObispo,women,1792,2356,2201,3255,9604,119,13,323,455,10059
sanMarcos,men,1215,679,1213,1826,4933,52,5,135,192,5125
sanMarcos,women,2094,1223,1956,2356,7629,142,14,234,390,8019
sonoma,men,907,474,743,1061,3185,41,17,127,185,3370
sonoma,women,1656,897,1335,1533,5421,134,52,346,532,5953
stanislaus,men,703,376,843,1118,3040,71,40,189,300,3340
stanislaus,women,1415,768,1551,1840,5574,252,96,500,848,6422
intlPrograms,men,0,5,65,49,119,0,0,0,0,119
intlPrograms,women,0,41,182,90,313,0,0,0,0,313
calStateTeach,men,0,0,0,0,0,210,0,0,210,210
calStateTeach,women,0,0,0,0,0,833,0,0,833,833
